,0
2340,prayer
2341,mosque
2342,street
2343,love
2344,hear
2345,shabbat
2346,siren
2347,every
2348,friday
2349,evening
2350,iâ
2351,209
2352,rt
2353,iâ
2354,good
2355,night
2356,happy
2357,friday
2358,¹
2359,210
2360,rt
2361,amazing
2362,day
2363,excited
2364,join
2365,friday
2366,neâ
2367,211
2368,rt
2369,nation
2370,islam
2371,follower
2372,noah
2373,green
2374,declare
2375,u
2376,government
2377,enemy
2378,black
2379,people
2380,shortly
2381,pâ
2382,212
2383,wouldnâ
2384,already
2385,pjs
2386,early
2387,friday
2388,night
2389,#ifiwere16again
2390,213
2391,friday
2392,night
2393,feeling's
2394,right
2395,time
2396,live
2397,tweet
2398,#macgyver
2399,214
2400,i'm
2401,horny
2402,every
2403,friday
2404,whether
2405,good
2406,bad
2407,215
2408,rt
2409,happy
2410,friday
2411,answer
2412,question
2413,noâ
2414,canâ
2415,come
2416,216
2417,yes
2418,bos
2419,friday
